文件名,下降检查单,增压,着陆高度_,再现,检查,自动刹车,_下降,着陆数据,VREF_Minimums_,进近简令,完成,最大着陆重量,核实,下降检查单完成,过渡高度层,高度表_,进近检查单,高度表,航道导航频率调定,进近检查单完成,开灯,10000,襟翼_,襟翼_速度,襟翼_到位,自动驾驶_航道_ILS识别码_,证实,APP预位/VOR/LOC预位,航道截获,进近航向_APP预位,下滑道移动,放轮襟翼15,襟翼15速度,下滑道截获,襟翼30/40,进近速度_,复飞高度_,着陆检查单,发动机启动电门,连续,减速板,预位,起落架,放下,襟翼,_绿灯,APU引气按需设置,核实,着陆检查单完成,OM/FAP高度_,检查,1000稳定,检查开灯/复飞,500稳定,拉平预位,差100,继续,300稳定,检查/复飞,频闪灯,MINIMUMS_,继续/落地,减速板升起/无减速板,自动刹车工作,反推正常/_发无反推/无反推,60,自动刹车解除
04C72887C05D64E5E3C76956E84C0E33584D3953B8563EADBF15224E35A7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,0,4,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,1,1,1,1,1,0
0552C7DADD1FE1D9239C58C02F2D0440F595A504EDB5AF08063B88F66A239FE4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,0,3,1,2,0,0,2,0,0,3,0,1,1,2,3,1,2,1,1,3,2,0,9,0,0,0,1,1,1,0,3,2,1,0,0,0,4,1,1,1,1,0
0CD02FDEEABD455C3784DBBDD68D1755A01C8A8D6CF2D5A2825420CBB0CD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,2,0,0,2,0,2,1,1,2,1,2,1,1,2,2,1,1,1,2,0,1,0,1,0,1,3,1,0,0,0,3,1,0,1,1,0
11931290C1F62C14E202628AFC4EC2F2B23008FB24B033E1A9D8AFE2C4D52B0A,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,2,0,0,1,0,0,4,2,2,1,0,0,0,0,0,2,1,0,4,0,0,3,1,3,1,3,1,2,4,3,1,8,1,1,0,0,0,0,0,3,1,1,0,0,0,3,1,1,1,0,0
142D666798F5E98F35DB54B743AEE990B6525FCC284A7F21C737FA824FB5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,0,6,2,0,0,0,2,1,1,2,0,0,0,0,3,2,2,2,0,2,3,2,3,1,0,1,1,1,1,0,4,1,0,1,0,0,3,1,1,1,1,0
177C64409074E18985C069B1454580F9B93171BFA29E192FF040A04F2AD67873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,5,0,1,0,0,0,2,1,2,0,5,0,0,2,1,2,1,2,0,0,2,0,0,4,1,0,1,1,1,1,0,1,2,0,1,0,1,3,1,0,1,1,0
2187D79144764C17B2EC355346F35C676E8109629B3E152978AE50C7300B18A4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,6,3,0,3,0,2,0,0,0,2,0,3,0,0,1,0,0,0,0,0,0,2,0,0,7,0,0,0,1,0,1,0,2,2,0,0,0,0,3,1,1,0,1,0
25BB673350FF980F776D66799406084997298E2647963319EC87C6C4FCD8B9D4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,6,4,6,3,13,1,2,0,0,1,1,2,4,0,0,2,1,2,1,3,1,1,6,1,1,2,1,0,0,0,2,0,0,4,2,0,0,0,0,3,1,0,0,1,1
26BA26E0E3D663C524CAAA96F485B735FA048383E0B84E769A3F3280C61B0E21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,5,2,2,5,1,0,0,0,0,0,0,1,0,0,2,1,1,0,0,1,1,2,2,0,1,0,0,0,0,0,1,0,2,2,0,0,0,0,2,1,1,0,1,1
27CBC00A3541CA44089357382CF1F156D6187C47DB2B094F4954E3EFD8F2F705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,5,4,1,14,0,2,0,0,2,2,2,5,0,0,1,1,2,1,3,1,1,3,3,1,0,1,0,0,1,2,1,0,2,1,0,3,0,1,2,1,1,1,1,1
